epoch,d_loss,g_loss
0,0.20575577020645142,-0.3701064884662628
1,0.1202360987663269,-0.382342666387558
2,0.2591087818145752,-0.5365990996360779
3,0.595060408115387,-0.6694589257240295
4,0.4233413636684418,-0.45368048548698425
5,0.7397832274436951,-0.513699471950531
6,0.4850901961326599,-0.730381429195404
7,0.6998284459114075,-0.7783517241477966
8,0.7868878841400146,-0.8684926629066467
9,0.6464230418205261,-0.9065934419631958
10,0.6726473569869995,-0.8063123822212219
11,0.6846868991851807,-0.7946229577064514
12,0.6749208569526672,-0.8458480834960938
13,0.7467646598815918,-0.9234620332717896
14,1.1013246774673462,-1.1124314069747925
15,0.5670914053916931,-0.8788895010948181
16,0.814713716506958,-0.9621263146400452
